pid,name,cpu_percent,memory_percent,num_handles,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
9096,Code.exe,0.0,1.285480418323568,378,29,32.0,2618,4377,2185644,16037563,2.921875,3.328125,82819,0,105.30078125,117.0,benign
7868,msedgewebview2.exe,0.0,0.5901658269953272,386,22,32768.0,9943,7393,7760725,1013104,0.609375,1.75,29661,0,41.53515625,15.33203125,benign
6496,Code.exe,0.0,1.2611603896354713,1041,55,32.0,100798,61670,89451610,62798889,41.453125,51.359375,688479,0,103.30859375,103.29296875,benign
1904,Discord.exe,0.0,0.3924585021628135,196,7,32.0,11,10,6047,120,0.03125,0.046875,105,0,32.1484375,10.2109375,benign
4,System,0.0,0.001764394238156,2891,130,,209,1416,893584,70279163,0.0,190.453125,1531198,0,0.14453125,0.1953125,benign
9340,msedgewebview2.exe,0.0,0.685395632027475,344,25,32768.0,11501,14126,95241520,1705016,6.25,21.28125,59262,0,56.14453125,16.1796875,benign
8728,msedge.exe,0.0,1.2364588703012869,295,16,64.0,1829,2823,3646720,3377014,2.46875,0.90625,16116,0,101.28515625,58.67578125,benign
1056,svchost.exe,0.0,0.1344277664151848,190,6,,0,0,0,0,0.484375,0.84375,883,0,11.01171875,2.5703125,benign
11084,chrome.exe,0.0,0.3926853405428326,234,14,64.0,338,330,90688,120344,0.109375,0.21875,3179,0,27.63671875,18.5546875,benign
9340,msedgewebview2.exe,0.0,0.6825344521818165,344,25,32768.0,20106,23573,161132280,2834008,9.859375,29.046875,102639,0,55.91015625,15.98046875,benign
3816,SearchIndexer.exe,0.0,0.5035199665051213,736,16,,4047,952,5380474,38433438,17.421875,6.46875,46304,0,41.24609375,36.7578125,benign
5716,msedge.exe,0.0,0.2435340911962926,292,11,32.0,40623,40828,175308,203552,4.25,4.0,49116,0,19.94921875,8.671875,benign
9088,Code.exe,0.0,1.1120929196766676,322,17,32768.0,259158,261678,4533339394,29387608,111.625,736.875,2581413,0,91.09765625,111.21484375,benign
1680,svchost.exe,0.0,0.2343901333021035,434,8,0.0,735,2189,29266048,9283072,0.90625,1.96875,4811,0,16.49609375,12.921875,benign
4132,FileCoAuth.exe,0.0,0.2947968967643394,200,3,32.0,9,116,216238,45169,0.046875,0.171875,162,0,24.1484375,11.25,benign
2132,svchost.exe,0.0,0.2081985201024111,296,8,32.0,105,742,366831,1529683,0.25,0.25,461,0,17.0546875,4.80859375,benign
6124,StartMenuExperienceHost.exe,0.0,0.757878854784155,632,10,32.0,85,746,281930,162946,0.859375,0.796875,4000,0,62.08203125,20.09375,benign
9448,Code.exe,0.0,5.5659192416926935,259,15,32.0,10146,528,64511690,208310,13.609375,3.53125,41514,0,391.72265625,403.62890625,benign
11716,msedge.exe,0.0,0.8463369983457613,299,17,64.0,261,471,231648,470839,0.46875,0.375,2789,0,69.328125,33.3671875,benign
9072,svchost.exe,0.0,0.21010597333285,401,10,,51,14,3196769,2773544,1.578125,3.3125,15906,0,17.2109375,5.8671875,benign
8932,NisSrv.exe,0.0,0.1824391115709245,212,3,0.0,1,0,4253,0,0.40625,0.4375,1892,0,12.83984375,4.0859375,benign
2132,svchost.exe,0.0,0.2118703675710061,302,11,32.0,150,3313,551151,6909427,0.828125,0.890625,368,0,17.35546875,5.3125,benign
2072,svchost.exe,0.0,0.2285622943258494,339,7,0.0,1,109,6,6407164,1.453125,1.84375,2835,0,16.0859375,5.6328125,benign
10600,OneDrive.Sync.Service.exe,0.0,0.6978975932135092,539,16,32.0,375,1106,1781723,424080,0.796875,0.859375,1417,0,49.1171875,37.66796875,benign
2924,powershell.exe,0.0,0.776878687148838,496,9,32.0,113,49,297746,1078,2.765625,8.296875,235541,0,54.67578125,53.58203125,benign
2712,svchost.exe,0.0,0.4513034343218551,584,15,32.0,1378,10828,6488659,24248367,6.140625,3.375,24974,0,36.96875,9.7421875,benign
2108,svchost.exe,0.0,0.1060543996124055,362,4,,0,0,0,0,0.03125,0.140625,219,0,8.6875,2.1875,benign
4136,taskhostw.exe,0.0,0.2267485027684299,305,8,32.0,75,732,5361889,19476073,0.3125,1.109375,2882,0,18.57421875,8.24609375,benign
3512,msedge.exe,0.0,2.67200817152964,2051,67,32.0,235829,244344,217007917,222590986,46.21875,41.109375,631632,0,218.87890625,113.5625,benign
5052,RuntimeBroker.exe,0.0,0.619416028333288,463,4,32.0,15,2,92459,248,0.828125,1.03125,740,0,43.59375,9.18359375,benign
8728,msedge.exe,0.0,1.2881508528461825,298,17,32.0,1777,2748,3640480,3307558,2.375,0.84375,15233,0,105.51953125,61.8203125,benign
1276,svchost.exe,0.0,0.0726739680797239,173,4,,0,0,0,0,0.3125,0.703125,9993,0,5.953125,1.61328125,benign
5684,Code.exe,0.0,0.6807470956548187,335,15,32.0,481,1012,1132837,493488,0.375,0.1875,4264,0,47.91015625,13.40625,benign
1164,svchost.exe,0.0,0.3610485003860249,359,7,0.0,1911,356,52484312,5776916,69.46875,60.5625,495890,0,25.41015625,5.22265625,benign
540,csrss.exe,0.0,0.0660932544347095,566,12,,42443,0,1353835,0,0.328125,35.375,491168,0,5.4140625,1.85546875,benign
3264,HxAccounts.exe,0.0,0.6245955603072335,622,18,32.0,3,3,2737,68273,0.21875,0.28125,2054,0,51.1640625,12.36328125,benign
1624,svchost.exe,0.0,0.1839932019645923,258,10,0.0,0,0,0,0,1.78125,2.4375,3225,0,12.94921875,2.52734375,benign
2752,svchost.exe,0.0,0.1874549662213876,356,10,,12764,6333,104000824,52429744,3.03125,1.953125,175,0,15.35546875,8.4609375,benign
2804,svchost.exe,0.0,0.106912753566103,207,6,,516,347,34632,59356,0.015625,0.125,575,0,8.7578125,2.3125,benign
7252,chrome.exe,0.0,0.9227966744685704,332,15,64.0,3863,3992,2474467,1741793,1.90625,1.03125,30222,0,64.9453125,39.234375,benign
1132,dwm.exe,9.6,1.8833355442119293,1379,30,0.0,119038,0,3289912,0,181.8125,85.765625,1228432,0,132.546875,108.77734375,benign
