pid,name,cpu_percent,memory_percent,num_handles,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
2768,svchost.exe,0.0,0.4466778602380406,676,11,,248,479,19797287,988688,3.21875,2.40625,14302,0,36.58984375,20.515625,benign
944,svchost.exe,0.0,0.1868827302522559,1197,11,,18,0,9216,0,8.625,10.03125,22108,0,15.30859375,8.28125,benign
3340,sihost.exe,0.0,0.3505899037546786,555,9,32.0,164,0,83968,0,1.0625,1.75,7250,0,28.71875,6.40625,benign
12256,ApplicationFrameHost.exe,0.0,0.3721441252586387,347,2,32.0,25,0,30577,0,0.3125,0.875,631,0,30.484375,8.63671875,benign
7252,chrome.exe,0.0,0.9227966744685704,332,15,64.0,3858,3987,2473907,1741233,1.90625,1.03125,30167,0,64.9453125,39.234375,benign
8904,Discord.exe,0.0,0.7147704117762347,323,17,32768.0,6223,5690,20076212,748328,2.84375,8.546875,25313,0,58.55078125,18.3515625,benign
6124,StartMenuExperienceHost.exe,0.0,0.7563052058690428,616,7,32.0,85,746,281930,162946,0.90625,0.8125,3816,0,61.953125,19.94921875,benign
2104,svchost.exe,1.7,0.1455294647213155,185,8,0.0,0,0,0,0,1.015625,0.515625,3151,0,10.2421875,2.19140625,benign
1164,svchost.exe,0.0,0.1947032884970556,395,6,,1313,601,70677584,12186952,0.40625,0.890625,2229,0,15.94921875,15.3828125,benign
6456,svchost.exe,0.0,0.3403373426410693,589,14,32.0,735,2060,14867249,68701342,5.59375,5.3125,14208,0,27.87890625,9.20703125,benign
4800,svchost.exe,0.0,0.1157824110876441,155,3,,0,0,0,0,0.375,0.328125,54,0,9.484375,2.01171875,benign
1680,svchost.exe,0.0,0.2485434565301491,438,9,0.0,750,2221,29856640,9464272,0.90625,2.0,4871,0,17.4921875,13.93359375,benign
2100,svchost.exe,0.0,0.1226969290479853,214,3,,0,0,0,0,0.03125,0.0625,270,0,10.05078125,2.3125,benign
7172,chrome.exe,0.0,2.523953805773113,561,17,64.0,66182,95016,178344087,138785241,92.4375,12.03125,502533,0,177.6328125,240.40234375,benign
5108,svchost.exe,0.0,0.2388608307817172,401,4,,161,72,344876,126983,0.46875,0.546875,58,0,19.56640625,5.78125,benign
964,svchost.exe,0.0,0.2430486369239667,1239,15,0.0,33,0,16896,0,13.09375,11.09375,38583,0,17.10546875,7.41015625,benign
3808,python.exe,0.0,0.2650883127002528,146,3,32.0,157,1791,1868692,142468,1.8125,2.609375,27422,0,21.71484375,14.34375,keylogger
7868,msedgewebview2.exe,0.0,0.5676315162871448,386,22,32768.0,9652,7164,7475085,987456,0.578125,1.71875,28663,0,39.94921875,15.22265625,benign
3536,dllhost.exe,0.0,0.1314235275772435,197,4,,33,62,2801664,1200128,0.0,0.046875,262,0,10.765625,3.375,benign
10188,SgrmBroker.exe,0.0,0.08326033350866,105,7,,3,0,83502,0,0.203125,0.1875,2020,0,6.8203125,4.06640625,benign
5960,OneDrive.Sync.Service.exe,0.0,0.0491646070145638,482,16,16384.0,268,784,1046288,378429,0.1875,0.453125,1290,0,4.02734375,36.24609375,benign
5276,svchost.exe,0.0,0.3168756679066702,768,16,,35,96,3200818,831368,0.671875,1.21875,6544,0,25.95703125,19.38671875,benign
1232,svchost.exe,0.0,0.1573172051804522,387,13,,0,0,0,0,0.40625,0.578125,2497,0,12.88671875,3.37109375,benign
11800,SearchFilterHost.exe,0.0,0.0907470874381329,152,6,,0,0,0,0,0.015625,0.03125,137,0,7.43359375,1.58203125,benign
1016,svchost.exe,0.0,0.5816738330584998,1290,23,0.0,111,11,1316268,204800,5.4375,7.9375,14025,0,40.9375,12.4296875,benign
10536,msedge.exe,0.0,2.3433539799250087,495,21,64.0,56811,212697,23525385,45360504,301.046875,80.78125,803936,0,191.95703125,169.2265625,benign
7876,Code.exe,0.0,1.12592195559735,315,24,32.0,126,1701,1225551,7325848,3.359375,3.46875,96949,0,92.23046875,85.90625,benign
1936,python.exe,0.0,0.1590815994186082,158,4,32.0,64,0,7188109,0,0.046875,0.015625,232,0,13.03125,4.78125,benign
4864,chrome.exe,0.0,0.3163684015680772,269,13,32.0,2690,2894,120008,246480,0.640625,0.625,14962,0,22.265625,8.10546875,benign
3084,svchost.exe,0.0,0.2026422866886052,395,6,0.0,1,1,116,160,0.21875,0.109375,1078,0,14.26171875,2.8125,benign
672,services.exe,0.0,0.1034793377513129,615,8,,27,1,124532,160,1.046875,2.78125,1647,0,8.4765625,4.44921875,benign
1448,svchost.exe,0.0,0.1145902528186198,248,6,,0,0,0,0,0.390625,0.71875,1294,0,9.38671875,2.5859375,benign
7128,chrome.exe,0.0,1.0768736363550586,304,16,64.0,715,697,330672,127056,0.09375,0.1875,3743,0,75.7890625,37.0546875,benign
11004,WindowsTerminal.exe,0.0,1.475719835244217,1126,20,32.0,135217,4606,3018694,80843,67.296875,50.375,395547,0,103.859375,42.39453125,benign
4948,svchost.exe,0.0,0.3695404943228523,310,12,0.0,15,0,22258,0,7.296875,5.34375,4333,0,26.0078125,4.60546875,benign
1764,svchost.exe,0.0,0.0965648197909717,175,2,,108,0,2172,0,0.046875,0.046875,186,0,7.91015625,1.76953125,benign
8120,python.exe,0.0,0.3501143644020054,164,3,32.0,160,130,1913490,184200,1.25,0.859375,35911,0,24.640625,14.875,keylogger
3808,python.exe,0.0,0.264754508384926,146,5,32.0,157,136,1868692,12119,0.203125,0.34375,2311,0,21.6875,14.40625,keylogger
7284,Code.exe,0.0,1.2051289509913272,337,22,32.0,2476,1091,25638535,4752348,2.453125,1.375,31804,0,98.71875,85.6796875,benign
992,svchost.exe,0.0,0.0892688111845427,270,6,,0,0,0,0,0.203125,0.15625,197,0,7.3125,2.296875,benign
4856,svchost.exe,0.0,0.4046185346370671,474,6,32.0,70,1263,242034,2605227,0.890625,0.703125,360,0,28.4765625,6.5703125,benign
8120,python.exe,4.3,0.3521124806224354,164,5,32.0,160,218,1913490,312722,1.84375,1.3125,51980,0,24.78125,14.9453125,keylogger
1156,svchost.exe,0.0,0.1423102774772894,202,4,0.0,9,0,18432,0,0.15625,0.25,479,0,10.015625,2.0546875,benign
10496,Discord.exe,0.0,0.9603073288644882,287,7,32.0,533,621,29536,17832,0.28125,0.3125,2078,0,78.6640625,11.33984375,benign
3968,svchost.exe,0.0,0.2040021229954454,270,5,,0,0,0,0,0.03125,0.15625,104,0,16.7109375,3.53515625,benign
2132,svchost.exe,0.0,0.2136824481399231,306,10,32.0,150,2105,551151,4420947,0.5,0.625,653,0,17.50390625,5.20703125,benign
184,python.exe,0.0,0.3984669798386962,140,5,32.0,1020200,0,6227191,0,1.140625,3.375,1116,0,32.640625,22.3671875,keylogger
8728,msedge.exe,0.0,1.253101399736867,300,16,64.0,2447,3660,3984230,5039006,3.078125,1.234375,21359,0,102.6484375,59.94921875,benign
10576,svchost.exe,0.0,0.139812632201752,216,5,0.0,2,1,4967,160,0.015625,0.0625,505,0,9.83984375,1.859375,benign
2004,powershell.exe,0.0,0.8412624320293589,504,9,32.0,110,2,323739,120,1.015625,2.515625,66877,0,59.20703125,51.7421875,benign
968,svchost.exe,0.0,0.2189602358221166,260,5,0.0,33,0,16896,0,0.46875,0.359375,235,0,15.41015625,2.3984375,benign
4132,FileCoAuth.exe,0.0,0.3037142406166415,200,3,32.0,9,122,216238,46134,0.046875,0.1875,197,0,24.87890625,11.26953125,benign
6652,SearchHost.exe,0.0,2.0249797829490754,1606,30,32.0,64236,60178,18589251,10145835,15.46875,14.0625,288473,0,142.515625,49.5234375,benign
13708,python.exe,0.0,0.1564111648959937,158,4,32.0,64,0,7188110,0,0.0625,0.109375,137,0,12.8125,4.5625,benign
6684,Code.exe,0.0,3.887961919603707,501,17,32.0,457190,289685,258214423,6260957496,508.453125,349.359375,2405827,0,318.484375,290.1953125,benign
2728,svchost.exe,0.0,0.2416743242966147,343,10,,0,0,0,0,0.9375,1.265625,1108,0,19.796875,3.90234375,benign
944,svchost.exe,0.0,0.1876457115444315,1213,11,,21,0,10752,0,10.515625,11.828125,13159,0,15.37109375,8.33984375,benign
5024,AggregatorHost.exe,0.0,0.0994259996366301,161,5,,237,0,109901316,0,1.1875,0.796875,892,0,8.14453125,2.5703125,benign
2544,Code.exe,0.0,1.536107347683878,348,24,32.0,261,1273,2025991,5432272,1.21875,0.734375,14756,0,108.109375,91.87109375,benign
8168,TextInputHost.exe,0.0,0.4491098631068503,548,9,32.0,1,0,512,0,2.234375,2.859375,86951,0,36.7890625,8.94921875,benign
6112,svchost.exe,0.0,0.2025867834602599,252,2,32.0,1,0,6676,0,0.109375,0.109375,79,0,14.2578125,2.7109375,benign
3816,SearchIndexer.exe,0.0,0.5135340959649257,710,17,,2206,341,5286986,1935418,4.25,2.765625,14216,0,42.06640625,36.93359375,benign
2752,svchost.exe,0.0,0.2172112366162352,368,13,,12764,6333,104000824,52429744,2.984375,1.90625,2451,0,17.79296875,8.9375,benign
4484,ctfmon.exe,0.0,0.2357612192822539,445,9,128.0,0,0,0,0,2.1875,8.796875,151876,0,19.3125,4.19140625,benign
3512,msedge.exe,0.0,2.835476913378257,2067,71,32.0,644227,583751,509919780,645096791,155.765625,1345.84375,2011997,0,232.26953125,117.2734375,benign
6668,StartMenuExperienceHost.exe,0.0,1.946886740667271,1207,24,32.0,3527,320,20040813,101870,7.15625,5.0625,48749,0,137.01953125,55.96484375,benign
3204,Code.exe,0.0,0.3557400274768638,219,7,32.0,28,9,7857,108,0.015625,0.0625,135,0,29.140625,10.4609375,benign
12556,python.exe,0.0,0.1264641491781022,158,1,32.0,64,0,7189535,0,0.078125,0.046875,112,0,10.359375,4.6328125,keylogger
8120,python.exe,6.4,0.3501698676303507,164,3,32.0,160,148,1913490,208936,1.40625,0.9375,40304,0,24.64453125,14.875,keylogger
1632,MemCompression,0.0,3.027795885337264,0,70,,0,0,0,0,0.0,10.65625,76724,0,248.0234375,0.640625,benign
3816,SearchIndexer.exe,0.0,0.5035199665051213,736,16,,4047,952,5380474,38433438,17.421875,6.46875,46304,0,41.24609375,36.7578125,benign
10536,msedge.exe,0.0,1.9131755901302647,494,22,64.0,72076,270227,29398407,56756672,402.671875,111.890625,1135056,0,156.71875,123.828125,benign
2696,svchost.exe,0.0,0.3299111892843247,334,5,0.0,285053,49662,107387833,15523016,13.453125,7.171875,5816,0,23.21875,13.19921875,benign
4520,explorer.exe,0.0,1.9508001051006727,2648,62,32.0,24006,485,17512546,864692,10.953125,20.578125,201451,0,159.80078125,82.0390625,benign
8996,Code.exe,0.0,1.835113066674551,348,22,32.0,28909,46041,30144877,200480989,12.8125,9.375,189540,0,150.32421875,188.6796875,benign
6692,svchost.exe,0.0,0.1027640427898983,247,7,,1,0,5581,0,0.03125,0.046875,248,0,8.41796875,3.80078125,benign
1500,svchost.exe,0.0,0.0705280831954801,231,3,,0,0,0,0,0.03125,0.0625,996,0,5.77734375,1.328125,benign
7944,msedgewebview2.exe,0.0,0.2669150251124356,175,10,32.0,2094,1564,6933228,8031613,0.1875,0.21875,5451,0,18.78515625,9.05078125,benign
7360,msedge.exe,0.0,0.5542105361040363,337,19,32768.0,64768,59009,160558378,7321840,36.8125,30.71875,206279,0,45.3984375,24.77734375,benign
3372,SystemSettings.exe,0.0,0.3296079182198502,823,20,32.0,23,4,130898,108,1.203125,1.90625,5691,0,27.0,22.453125,benign
1132,dwm.exe,3.2,1.8786177698025808,1381,30,0.0,118989,0,3288736,0,181.109375,85.390625,1217086,0,132.21484375,106.03515625,benign
9684,svchost.exe,0.0,0.0900317924767183,176,3,,1,1,116,160,0.0,0.046875,37,0,7.375,1.6171875,benign
8292,msedgewebview2.exe,0.0,2.8460155924764323,671,20,64.0,23609,17911,26922916,148161532,48.734375,19.921875,173236,0,233.1328125,179.3046875,benign
7368,msedge.exe,0.0,0.6991292952866354,379,19,32.0,56176,112269,54059306,57470552,10.265625,10.96875,115213,0,57.26953125,32.23828125,benign
6164,msedge.exe,0.0,0.1376480062962862,159,7,32.0,24,15,7161,180,0.015625,0.0,109,0,9.6875,2.1015625,benign
8704,chrome.exe,0.0,0.2766280900728591,214,11,32.0,2293,3167,1311906,1007595,0.71875,0.265625,17871,0,19.46875,9.94140625,benign
2004,powershell.exe,0.0,0.8423169933679192,504,9,32.0,110,2,323739,120,1.046875,2.5625,72174,0,59.28125,51.8046875,benign
2740,svchost.exe,0.0,0.1693403496814392,440,3,0.0,0,0,0,0,0.109375,0.234375,143,0,11.91796875,2.15625,benign
3808,python.exe,0.0,0.2645160767311211,146,3,32.0,157,818,1868692,84817,0.796875,1.203125,11519,0,21.66796875,14.34375,keylogger
3772,python.exe,0.0,0.8264994847491961,142,7,32.0,933,0,13632385,0,1.140625,3.921875,10421,0,67.703125,147.765625,benign
12144,msedge.exe,0.0,0.4510192335337185,211,14,64.0,46,69,75984,10248,0.0625,0.03125,625,0,31.7421875,16.18359375,benign
2012,svchost.exe,0.0,0.1124443679343759,620,8,,0,0,0,0,0.40625,0.328125,159,0,9.2109375,2.9921875,benign
728,csrss.exe,2.8,0.1041795596040843,681,14,0.0,23686,0,711054,0,0.734375,18.015625,402009,0,7.33203125,2.16796875,benign
5300,Code.exe,0.0,1.3421794655983657,337,24,32.0,2179,837,25914050,3738836,2.4375,1.765625,28404,0,109.9453125,85.85546875,benign
7700,msedge.exe,0.0,1.716612534733531,556,18,64.0,10357,14957,18027512,26234105,18.59375,6.71875,82198,0,140.6171875,118.6875,benign
1560,svchost.exe,0.0,0.1357608965325468,177,6,0.0,3,2,4746,276,0.03125,0.03125,115,0,9.5546875,1.80078125,benign
7696,Code.exe,0.0,1.4008459802064386,325,24,32.0,188,1003,1249870,4271272,1.3125,1.125,45442,0,98.58984375,82.9453125,benign
648,csrss.exe,0.0,0.0992952755097,525,11,0.0,387,0,301701,0,0.515625,1.953125,38809,0,6.98828125,1.96875,benign
6480,RuntimeBroker.exe,0.0,0.313728370076446,332,3,32.0,2450,6,902652,96,0.71875,1.234375,266,0,25.69921875,8.9765625,benign
3808,python.exe,0.0,0.2649452537079698,146,3,32.0,157,1143,1868692,103380,1.109375,1.671875,17052,0,21.703125,14.34375,keylogger
2132,svchost.exe,0.0,0.208389265425455,296,8,32.0,105,778,366831,1603843,0.265625,0.25,376,0,17.0703125,4.828125,benign
10496,Discord.exe,0.0,0.9550618324807812,287,7,32.0,534,622,29648,17944,0.328125,0.3125,2415,0,78.234375,11.33984375,benign
12708,SearchProtocolHost.exe,0.0,0.1302790556389801,371,6,,272,2,27036572,248,0.46875,0.53125,7032,0,10.671875,2.9765625,benign
7700,msedge.exe,0.0,1.985801871879228,466,18,64.0,8370,11939,13128918,22404951,14.25,5.3125,64680,0,162.66796875,117.1875,benign
1580,chrome.exe,0.0,0.3496148353468979,401,9,32.0,737,752,95056,246688,0.421875,0.265625,11842,0,24.60546875,10.3203125,benign
376,svchost.exe,0.0,0.1115860139806784,218,1,,0,0,0,0,0.09375,0.25,32,0,9.140625,2.25390625,benign
2752,svchost.exe,0.0,0.192080540305202,356,10,,12764,6333,104000824,52429744,3.015625,1.9375,163,0,15.734375,8.4609375,benign
6684,Code.exe,0.0,3.759494944533644,498,16,32.0,302852,191205,162982559,4068172192,338.765625,230.265625,1607893,0,307.9609375,274.4140625,benign
5804,python.exe,0.0,0.1579371274803448,158,4,32.0,64,0,7188109,0,0.078125,0.046875,280,0,12.9375,4.6953125,benign
4132,FileCoAuth.exe,0.0,0.2989456075405441,200,3,32.0,9,122,216238,46134,0.046875,0.1875,207,0,24.48828125,11.26953125,benign
3384,powershell.exe,0.0,0.5484881764127194,478,9,32.0,143,2,483772,120,4.09375,3.5625,24983,0,44.9296875,56.71484375,benign
8016,svchost.exe,0.0,0.2291728298376475,188,5,32.0,1,0,6729,0,0.15625,0.125,336,0,16.12890625,2.3203125,benign
8996,Code.exe,0.0,1.788952698497928,348,22,32.0,22398,34511,29060165,150172506,10.3125,7.421875,148496,0,146.54296875,183.84765625,benign
4296,svchost.exe,0.0,0.137670436906931,220,4,,10,0,8870,0,0.546875,1.3125,160,0,11.27734375,2.83984375,benign
3264,HxAccounts.exe,0.0,0.6245955603072335,622,18,32.0,3,3,2737,68273,0.21875,0.28125,2054,0,51.1640625,12.36328125,benign
2552,python.exe,0.0,0.157603323165018,158,4,32.0,64,0,7188110,0,0.03125,0.109375,124,0,12.91015625,4.6796875,benign
3512,msedge.exe,0.0,2.689842859234244,1978,68,32.0,537339,495086,417784893,526622362,125.671875,1318.421875,1629418,0,220.33984375,114.84375,benign
9268,chrome.exe,0.0,0.8478118129741017,440,23,32768.0,72580,63842,215718689,8494448,20.328125,10.78125,644403,0,59.66796875,100.875,benign
5108,svchost.exe,0.0,0.2357612192822539,401,4,,161,72,344876,126983,0.46875,0.546875,57,0,19.3125,5.7890625,benign
7352,msedgewebview2.exe,0.0,1.7612284418523203,1303,47,32.0,31888,27007,87060303,71061890,5.0625,6.5625,120111,0,123.953125,44.15234375,benign
9572,python.exe,0.0,0.1581755591341497,158,4,32.0,64,0,7188108,0,0.0625,0.109375,136,0,12.95703125,4.71875,benign
4520,explorer.exe,0.0,2.130196081423456,2888,103,32.0,40334,504,23331662,874665,22.671875,44.015625,427313,0,174.49609375,99.5859375,benign
9468,steamwebhelper.exe,0.0,1.1045107930856728,643,17,64.0,810,966,270106,706804,1.421875,1.03125,4408,0,90.4765625,47.8828125,benign
4880,sihost.exe,0.0,0.6788599858910793,745,16,32.0,226,0,149272,0,4.34375,7.765625,19169,0,47.77734375,7.73046875,benign
5928,svchost.exe,0.0,0.2600812479703505,374,7,,5,1,103892,4096,0.21875,0.375,91,0,21.3046875,5.5546875,benign
516,fontdrvhost.exe,0.0,0.0697675580300128,43,5,0.0,0,0,0,0,0.03125,0.09375,3957,0,4.91015625,1.7734375,benign
9864,Code.exe,0.0,1.43620153666238,331,22,32.0,2327,890,24591500,4250388,1.90625,1.015625,22574,0,101.078125,80.50390625,benign
1680,svchost.exe,0.0,0.2462678241679927,430,8,0.0,742,2206,29724800,9427056,0.90625,2.0,4813,0,17.33203125,13.70703125,benign
3384,powershell.exe,0.0,0.5483928037511975,478,9,32.0,143,2,483772,120,4.078125,3.5625,24627,0,44.921875,56.71484375,benign
6528,python.exe,60.0,1.0167081368287787,161,4,32.0,931,0,13623115,0,2.125,30.078125,42619,0,71.5546875,148.45703125,benign
8168,TextInputHost.exe,0.0,0.4492529220991332,550,10,32.0,1,0,512,0,1.9375,2.515625,74564,0,36.80078125,8.984375,benign
6684,Code.exe,0.0,3.937651076256642,503,16,32.0,675916,434176,373631391,9267011264,761.28125,527.5625,3577711,0,322.5546875,320.421875,benign
6528,python.exe,53.4,1.0127119043879187,161,4,32.0,931,0,13623115,0,1.78125,21.984375,29496,0,71.2734375,148.1640625,benign
11572,msedge.exe,0.0,0.4222130580225198,329,17,32768.0,75,46,34262,74560,0.046875,0.046875,279,0,29.71484375,11.91796875,benign
8256,OneDrive.exe,0.0,1.1199134779214672,878,22,32.0,235,2815,4957036,971888,1.359375,1.8125,6729,0,91.73828125,51.0,benign
11228,SearchFilterHost.exe,0.0,0.174113627319133,190,7,0.0,375,0,12542,0,0.015625,0.015625,231,0,12.25390625,2.32421875,benign
3376,backgroundTaskHost.exe,0.0,1.0031653491125312,811,10,32.0,334,14,2418315,16899,1.0625,1.359375,5382,0,70.6015625,24.07421875,benign
10728,SearchProtocolHost.exe,0.0,0.2594220892858233,374,11,0.0,5,0,4541,0,0.0,0.046875,409,0,18.2578125,2.6953125,benign
3588,MpDefenderCoreService.exe,0.0,0.333574402355113,491,9,0.0,683,27,5115419,41499,0.6875,1.21875,582,0,23.4765625,10.265625,benign
9768,OneDrive.exe,0.0,1.853530310590516,1176,35,32.0,1141,14575,15243320,5316125,7.375,8.390625,19566,0,130.44921875,67.19921875,benign
10100,python.exe,0.0,0.831935726455947,142,7,32.0,933,0,13632385,0,1.546875,11.125,29379,0,68.1484375,148.671875,benign
1428,svchost.exe,0.0,0.0820681752396357,149,5,,0,0,0,0,0.09375,0.125,177,0,6.72265625,4.6015625,benign
10236,msedge.exe,0.0,1.7209996771635407,438,18,32.0,31258,31171,6897188,7224026,17.28125,11.0,158520,0,140.9765625,98.25,benign
5964,ShellExperienceHost.exe,0.0,0.5844913561372546,576,13,32.0,132,0,710560,0,2.796875,3.734375,49154,0,47.87890625,10.5859375,benign
2444,svchost.exe,0.0,0.1661868627019933,411,13,,1,2,116,32928,0.28125,1.921875,852,0,13.61328125,8.96484375,benign
1600,svchost.exe,0.0,0.151246297240879,181,3,0.0,148,0,3056,0,0.09375,0.09375,532,0,10.64453125,1.8828125,benign
9768,OneDrive.exe,0.0,1.854029839645623,1177,37,32.0,1141,14577,15243320,5316428,7.375,8.390625,19610,0,130.484375,67.25390625,benign
2740,svchost.exe,0.0,0.1564588512267547,270,5,,854,92,9260950,255050,0.28125,0.375,1143,0,12.81640625,3.625,benign
1428,svchost.exe,0.0,0.0991875679828252,150,4,,0,0,0,0,0.1875,0.21875,193,0,8.125,4.3125,benign
7868,msedgewebview2.exe,0.0,0.6215251510104085,386,22,32768.0,9641,7159,7473853,986896,0.578125,1.703125,28639,0,43.7421875,15.21875,benign
4880,conhost.exe,0.0,0.0746767939716848,114,5,32.0,407,1226,646,72941,3.25,33.3125,1022790,0,6.1171875,1.30078125,benign
720,dwm.exe,0.0,0.9886330093365068,893,22,,2,0,109516,0,174.578125,152.21875,830415,0,80.984375,44.375,benign
11004,WindowsTerminal.exe,0.0,1.4762193642993244,1099,20,32.0,134325,4159,3004474,72453,65.5,49.09375,384868,0,103.89453125,42.640625,benign
8120,python.exe,0.0,0.3501143644020054,164,3,32.0,160,133,1913490,187848,1.296875,0.859375,36516,0,24.640625,14.875,keylogger
11004,WindowsTerminal.exe,0.0,1.478550499889826,1127,23,32.0,135069,4600,3015658,80825,67.015625,50.3125,391520,0,104.05859375,42.71484375,benign
3084,svchost.exe,0.0,0.2026422866886052,395,6,0.0,1,1,116,160,0.21875,0.109375,1077,0,14.26171875,2.8125,benign
3076,Notepad.exe,0.0,2.184607067670091,1708,31,32.0,9466,14448,548108,121751,42.546875,41.6875,437915,0,153.75,73.17578125,benign
2320,msedge.exe,0.0,0.6007114403809297,332,19,32.0,1290,2385,4261167,2061538,0.53125,0.265625,3199,0,42.27734375,14.43359375,benign
1272,MemCompression,0.0,3.9072052625940974,0,26,0.0,0,0,0,0,0.0,25.5625,225535,0,274.984375,0.83984375,benign
6528,python.exe,60.6,1.0065510460415932,163,6,32.0,931,0,13623115,0,1.015625,9.21875,12951,0,70.83984375,147.94140625,benign
3104,svchost.exe,0.0,0.4561255305414839,399,20,0.0,1335,4391,50660854,21527838,6.203125,9.125,23111,0,32.1015625,25.234375,benign
8996,Code.exe,0.0,1.823286856645829,348,22,32.0,28629,45541,30105757,198298989,12.703125,9.203125,187107,0,149.35546875,187.4140625,benign
124,Registry,0.0,0.8758409432884664,0,4,0.0,4,4354,2048,82743296,0.0,2.03125,7878,0,61.640625,6.01953125,benign
7412,python.exe,0.0,2.873673664317797,144,8,32.0,933,0,13632385,0,1.125,5.953125,11402,0,235.3984375,315.5078125,benign
3588,MpDefenderCoreService.exe,0.0,0.3335188991267677,491,9,0.0,683,27,5115419,41499,0.6875,1.21875,521,0,23.47265625,10.265625,benign
5648,NisSrv.exe,0.0,0.1314235275772435,206,3,,0,0,0,0,0.125,0.140625,621,0,10.765625,4.1171875,benign
2256,svchost.exe,0.0,0.2398622437276977,214,8,,103673,711,53048972,244496,1212.546875,4.109375,10500,0,19.6484375,11.1796875,benign
10340,UserOOBEBroker.exe,0.0,0.1550760199967031,152,6,32.0,1,0,5496,0,0.09375,0.125,112,0,10.9140625,1.87890625,benign
540,csrss.exe,0.0,0.0679053350036265,656,13,,112396,0,3017827,0,1.609375,99.3125,1871352,0,5.5625,1.953125,benign
2108,svchost.exe,0.0,0.1053391046509909,362,4,,0,0,0,0,0.03125,0.15625,257,0,8.62890625,2.1875,benign
2004,powershell.exe,0.0,0.841872967541157,504,9,32.0,110,2,323739,120,1.03125,2.546875,69990,0,59.25,51.8046875,benign
3512,msedge.exe,0.0,2.6863617570886924,2010,69,32.0,282596,283400,236234583,263773794,59.609375,49.59375,775636,0,220.0546875,114.26953125,benign
2752,svchost.exe,0.0,0.1813511158839829,356,10,,12764,6333,104000824,52429744,3.109375,2.0,176,0,14.85546875,8.41015625,benign
8704,chrome.exe,0.0,0.2716883027501294,208,11,32.0,2107,2832,1260130,883731,0.71875,0.265625,16869,0,19.12109375,9.8046875,benign
12796,msedge.exe,0.0,0.3577905396995856,213,15,64.0,34,54,65184,34552,0.015625,0.171875,461,0,29.30859375,15.65625,benign
