pid,name,cpu_percent,memory_percent,num_handles,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
0,System Idle Process,367.3,0.0001110064566905534,0,12,0,0,0,0,0,0.0,18780.828124999996,7137619,0,0.0078125,0.05859375,benign
4,System,0.0,0.0023866388188468982,3428,152,0,378,1161,631464,56191694,0.0,299.34375,2823581,0,0.16796875,0.0390625,benign
124,Registry,0.0,0.8306613154154112,0,4,0,4,2121,2048,41975808,0.0,0.9375,3316,0,58.4609375,6.04296875,benign
472,smss.exe,0.0,0.02053619448775238,58,2,0,24,13,2795354,24740,0.0625,0.265625,1424,0,1.4453125,1.140625,benign
512,fontdrvhost.exe,0.0,0.056335776770455856,43,5,0,0,0,0,0,0.015625,0.015625,1372,0,3.96484375,1.3984375,benign
516,fontdrvhost.exe,0.0,0.07132164842368056,43,5,0,0,0,0,0,0.015625,0.09375,2843,0,5.01953125,1.7734375,benign
564,powershell.exe,0.0,0.9460525271452414,588,10,32,109,2,292822,120,0.53125,0.234375,4734,0,66.58203125,51.078125,benign
620,RuntimeBroker.exe,0.0,0.37270417833853303,260,8,32,10,0,48618,0,0.078125,0.09375,265,0,26.23046875,4.984375,benign
648,csrss.exe,0.0,0.09985030779315279,508,11,0,249,0,191968,0,0.3125,1.46875,20246,0,7.02734375,1.96484375,benign
720,wininit.exe,0.0,0.1300995672413286,160,2,0,2,0,36868,0,0.03125,0.203125,591,0,9.15625,1.4921875,benign
728,csrss.exe,0.0,0.1062331790528596,636,14,0,4499,0,438315,0,0.515625,4.390625,193748,0,7.4765625,2.1640625,benign
792,winlogon.exe,0.0,0.22928383629433807,290,3,0,3,1,365824,160,0.0625,0.25,1348,0,16.13671875,2.47265625,benign
868,services.exe,0.0,0.14713905834332852,622,9,0,3,1,1140,160,1.390625,2.328125,3100,0,10.35546875,4.734375,benign
888,lsass.exe,0.0,0.406783160542533,1515,11,0,454,190,320826,207818,30.328125,30.484375,369080,0,28.62890625,8.296875,benign
964,svchost.exe,0.0,0.23394610747534134,1185,10,0,24,0,12288,0,6.125,5.546875,9209,0,16.46484375,6.65625,benign
968,svchost.exe,0.0,0.18210609220085286,198,2,0,8,0,4096,0,0.171875,0.109375,141,0,12.81640625,1.875,benign
976,msedgewebview2.exe,0.0,0.12393870889500287,151,7,32,18,9,6395,108,0.015625,0.046875,106,0,8.72265625,2.09765625,benign
1016,svchost.exe,0.0,0.5787321619562003,1262,24,0,77,6,539018,135168,2.75,4.03125,7121,0,40.73046875,11.91015625,benign
1032,svchost.exe,0.0,0.18427071810631868,314,5,0,0,0,0,0,0.3125,0.421875,1047,0,12.96875,2.64453125,benign
1096,chrome.exe,0.0,0.5901658269953272,373,17,32,8839,42488,10202113,40064104,6.203125,4.46875,48159,0,41.53515625,14.50390625,benign
1132,dwm.exe,0.0,1.6666509407519687,1169,28,0,43615,0,1479640,0,43.734375,25.15625,303050,0,117.296875,85.546875,benign
1156,svchost.exe,0.0,0.1403121612568595,202,4,0,6,0,12288,0,0.078125,0.15625,335,0,9.875,2.0546875,benign
1164,svchost.exe,0.0,0.2941671102299665,355,9,0,1238,333,50802956,5770478,23.875,20.796875,142467,0,20.703125,4.6640625,benign
1216,Code.exe,3.3,3.2404449804822897,447,14,32,9514,8432,23531080,17542808,5.015625,0.796875,32450,0,228.05859375,188.625,benign
1232,svchost.exe,0.0,0.09535454629718537,117,4,0,0,0,0,0,0.0,0.015625,151,0,6.7109375,1.30078125,benign
1240,svchost.exe,0.0,0.1372594836978693,175,6,0,2,2,208,276,0.046875,0.015625,45,0,9.66015625,1.80859375,benign
1272,MemCompression,0.0,2.224069863023583,0,22,0,0,0,0,0,0.0,9.796875,94030,0,156.52734375,0.6796875,benign
1296,Code.exe,0.0,1.5367733864240214,325,24,32,140,71,1245462,212528,0.421875,0.234375,4776,0,108.15625,81.52734375,benign
1352,svchost.exe,0.0,0.1798304598386965,218,3,0,0,0,0,0,0.140625,0.078125,86,0,12.65625,2.58203125,benign
1364,svchost.exe,0.0,0.2110787773970873,268,3,0,0,0,0,0,0.0625,0.1875,60,0,14.85546875,2.0625,benign
1428,svchost.exe,0.0,0.13420680613887906,179,6,0,0,0,0,0,0.0625,0.03125,371,0,9.4453125,1.90625,benign
1472,svchost.exe,0.0,0.11350410196609086,142,5,0,0,0,0,0,0.140625,0.125,238,0,7.98828125,4.68359375,benign
1520,svchost.exe,0.0,0.11039592117875537,171,3,0,0,0,0,0,0.09375,0.0625,3337,0,7.76953125,1.625,benign
1532,svchost.exe,0.0,0.2734644060571783,1012,8,0,1,1,116,160,0.796875,0.75,3326,0,19.24609375,4.73046875,benign
1580,chrome.exe,0.0,0.3602714551891911,401,9,32,236,251,38944,66496,0.0625,0.1875,3941,0,25.35546875,10.3203125,benign
1600,svchost.exe,0.0,0.1529668973195826,181,3,0,148,0,3056,0,0.03125,0.0625,369,0,10.765625,1.8828125,benign
1624,svchost.exe,0.0,0.17883140172848153,236,7,0,0,0,0,0,0.796875,0.875,395,0,12.5859375,2.2890625,benign
1680,svchost.exe,0.0,0.2545378051914389,436,8,0,503,1046,15239040,6431896,0.40625,1.40625,3673,0,17.9140625,14.61328125,benign
1716,python.exe,40.0,0.9858483418688048,162,7,32,926,1,13615674,5178,0.328125,0.4375,1249,0,69.3828125,147.515625,benign
1756,svchost.exe,0.0,0.266582005742364,211,3,0,2,0,1024,0,0.125,0.34375,208,0,18.76171875,2.55078125,benign
