name,num_handles,num_threads,nice,memory_percent,cpu_percent,pid,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
System,2968,154,,0.001812080568917,0.0,4,197,412,398760,48911055,0.0,73.84375,352389,0,0.1484375,0.1875,benign
Registry,0,4,,0.8474337839532636,0.0,108,446,340,15973888,27357184,0.0,1.359375,821,0,69.41796875,3.828125,benign
smss.exe,53,2,,0.0146873898743799,0.0,352,22,8,13220,148,0.015625,0.28125,848,0,1.203125,1.03125,benign
python.exe,160,4,32.0,0.1565542238882766,0.0,392,64,0,7188010,0,0.0,0.09375,104,0,12.82421875,4.6796875,benign
dwm.exe,998,24,,0.8167237869431965,0.0,456,2,0,72092,0,23.296875,18.625,247102,0,66.90234375,32.1640625,benign
csrss.exe,471,11,,0.0618491709969828,0.0,468,178,0,136740,0,0.0625,0.4375,2574,0,5.06640625,1.65625,benign
WinStore.App.exe,516,12,32.0,0.0185499826660187,0.0,536,21,0,15360,0,0.078125,0.5625,1777,0,1.51953125,14.71484375,benign
wininit.exe,164,1,,0.0849770414160551,0.0,544,2,0,9732,0,0.015625,0.125,220,0,6.9609375,1.390625,benign
csrss.exe,527,13,,0.0662363134269924,0.0,552,10825,0,565320,0,0.109375,9.6875,77413,0,5.42578125,1.9296875,benign
winlogon.exe,273,3,,0.1402454987680236,0.0,632,2,0,206188,0,0.015625,0.21875,581,0,11.48828125,2.54296875,benign
services.exe,594,6,,0.1121582499498101,0.0,688,73,1,212596,160,0.4375,0.96875,2421,0,9.1875,4.3203125,benign
svchost.exe,298,11,32.0,0.2097244826867623,0.0,696,236,334,911827,682315,0.296875,0.234375,257,0,17.1796875,4.83203125,benign
lsass.exe,1225,8,,0.2288943876526737,0.0,708,76,44,28538,37001,0.375,0.71875,9440,0,18.75,6.7265625,benign
taskhostw.exe,262,6,32.0,0.0838802558085527,0.0,728,2,2,252,188,0.015625,0.125,155,0,6.87109375,3.35546875,benign
svchost.exe,178,3,,0.0915577550610695,0.0,780,1,1,116,160,0.03125,0.046875,41,0,7.5,1.79296875,benign
ApplicationFrameHost.exe,391,6,32.0,0.3781049166037604,0.0,800,17,0,23315,0,0.0625,0.296875,1101,0,30.97265625,11.9453125,benign
sihost.exe,595,16,32.0,0.3179247671834116,0.0,820,62,0,31744,0,0.828125,1.734375,19799,0,26.04296875,5.96484375,benign
svchost.exe,1413,15,,0.3646573713291658,0.0,828,75,1,308224,65536,0.640625,1.734375,17762,0,29.87109375,10.265625,benign
fontdrvhost.exe,36,5,,0.0458742501920566,0.0,848,0,0,0,0,0.03125,0.0625,2588,0,3.7578125,1.40625,benign
fontdrvhost.exe,36,5,,0.0405333811468276,0.0,860,0,0,0,0,0.015625,0.0625,1561,0,3.3203125,1.23828125,benign
svchost.exe,1128,11,,0.1592246584108911,0.0,944,9,0,4608,0,2.234375,2.3125,18722,0,13.04296875,6.44140625,benign
svchost.exe,270,5,,0.0963740744679278,0.0,996,0,0,0,0,0.0625,0.09375,851,0,7.89453125,2.19140625,benign
