timestamp,window,key
2025-11-13 13:36:54.319,Untitled - Notepad,t
2025-11-13 13:36:54.399,*t - Notepad,e
2025-11-13 13:36:54.564,*te - Notepad,s
2025-11-13 13:36:55.065,*tes - Notepad,d
2025-11-13 13:36:55.177,*tesd - Notepad,a
2025-11-13 13:36:55.260,*tesda - Notepad,t
2025-11-13 13:36:55.363,*tesdat - Notepad,a
2025-11-13 13:36:56.412,*tesdata - Notepad,[shift]
2025-11-13 13:36:56.637,*tesdata - Notepad,@
2025-11-13 13:36:57.371,*tesdata@ - Notepad,h
2025-11-13 13:36:57.534,*tesdata@h - Notepad,o
2025-11-13 13:36:57.599,*tesdata@ho - Notepad,t
2025-11-13 13:36:57.715,*tesdata@hot - Notepad,m
2025-11-13 13:36:57.829,*tesdata@hotm - Notepad,a
2025-11-13 13:36:57.886,*tesdata@hotma - Notepad,i
2025-11-13 13:36:58.020,*tesdata@hotmai - Notepad,l
2025-11-13 13:36:58.192,*tesdata@hotmail - Notepad,.
2025-11-13 13:36:58.321,*tesdata@hotmail. - Notepad,c
2025-11-13 13:36:58.386,*tesdata@hotmail. - Notepad,o
2025-11-13 13:36:58.528,*tesdata@hotmail.o - Notepad,m
2025-11-13 13:36:58.690,*tesdata@hotmail.om - Notepad,[enter]
2025-11-13 13:37:00.059,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.559,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.593,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.626,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.659,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.693,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.726,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.758,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.792,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.825,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.859,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.891,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.925,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.959,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.993,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.025,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.058,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.092,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.130,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.159,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.192,*tesdata@hotmail.om - Notepad,L
2025-11-13 13:37:01.471,*tesdata@hotmail.om - Notepad,m
2025-11-13 13:37:01.591,*tesdata@hotmail.om - Notepad,a
2025-11-13 13:37:01.620,*tesdata@hotmail.om - Notepad,s
2025-11-13 13:37:01.653,*tesdata@hotmail.om - Notepad,o
2025-11-13 13:37:02.410,*tesdata@hotmail.om - Notepad,[backspace]
2025-11-13 13:37:02.959,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:03.316,*tesdata@hotmail.om - Notepad,@
2025-11-13 13:37:03.778,*tesdata@hotmail.om - Notepad,1
2025-11-13 13:37:04.079,*tesdata@hotmail.om - Notepad,2
2025-11-13 13:37:04.275,*tesdata@hotmail.om - Notepad,3
2025-11-13 13:37:04.450,*tesdata@hotmail.om - Notepad,4
2025-11-13 13:37:04.654,*tesdata@hotmail.om - Notepad,5
2025-11-13 13:37:07.284,Untitled - Notepad,w
2025-11-13 13:37:07.389,*w - Notepad,e
2025-11-13 13:37:07.432,*we - Notepad,[space]
2025-11-13 13:37:07.584,*we - Notepad,h
2025-11-13 13:37:07.683,*we h - Notepad,a
2025-11-13 13:37:07.773,*we ha - Notepad,v
2025-11-13 13:37:07.852,*we hav - Notepad,e
2025-11-13 13:37:07.948,*we have - Notepad,[space]
2025-11-13 13:37:08.114,*we have - Notepad,o
2025-11-13 13:37:08.203,*we have o - Notepad,f
2025-11-13 13:37:08.440,*we have of - Notepad,t
2025-11-13 13:37:08.601,*we have oft - Notepad,e
2025-11-13 13:37:08.662,*we have ofte - Notepad,n
2025-11-13 13:37:08.778,*we have often - Notepad,[space]
2025-11-13 13:37:08.886,*we have often - Notepad,k
2025-11-13 13:37:09.027,*we have often k - Notepad,i
2025-11-13 13:37:09.153,*we have often ki - Notepad,n
2025-11-13 13:37:09.216,*we have often kin - Notepad,d
2025-11-13 13:37:09.292,*we have often kind - Notepad,[space]
2025-11-13 13:37:09.390,*we have often kind - Notepad,o
2025-11-13 13:37:09.469,*we have often kind o - Notepad,f
2025-11-13 13:37:09.597,*we have often kind of - Notepad,[space]
2025-11-13 13:37:09.815,*we have often kind of - Notepad,u
2025-11-13 13:37:09.957,*we have often kind of u - Notepad,n
2025-11-13 13:37:09.987,*we have often kind of un - Notepad,d
2025-11-13 13:37:10.089,*we have often kind of und - Notepad,e
2025-11-13 13:37:10.249,*we have often kind of unde - Notepad,r
2025-11-13 13:37:10.417,*we have often kind of under - Notepad,s
2025-11-13 13:37:10.484,*we have often kind of unders - Notepad,t
2025-11-13 13:37:10.676,*we have often kind of underst - Notepad,o
2025-11-13 13:37:10.784,*we have often kind of understo - Notepad,o
2025-11-13 13:37:10.883,*we have often kind of understoo - Notepad,d
2025-11-13 13:37:10.980,*we have often kind of understood - Notepad,[space]
2025-11-13 13:37:11.102,*we have often kind of understood - Notepad,w
2025-11-13 13:37:11.211,*we have often kind of understood w - Notepad,h
2025-11-13 13:37:11.256,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:11.423,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:11.578,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:11.692,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:12.358,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:12.444,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:12.583,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:12.658,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:12.765,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:12.878,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:12.960,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:13.046,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:13.184,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:13.341,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:13.641,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:13.802,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:13.891,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:13.984,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:14.073,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:14.391,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:14.526,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:14.722,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:14.810,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:14.899,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:15.012,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:15.088,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:15.193,*we have often kind of understood wh - Notepad,f
2025-11-13 13:37:15.308,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:15.326,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:15.484,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:15.615,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:16.056,*we have often kind of understood wh - Notepad,b
2025-11-13 13:37:16.223,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:16.279,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:16.381,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:16.503,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:16.648,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:16.945,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:17.095,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:17.270,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:17.451,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:17.596,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:17.673,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:17.798,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:18.002,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:18.126,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:18.801,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:18.962,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:19.027,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:19.483,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:19.715,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:19.849,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:19.973,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:20.123,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:20.180,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:20.259,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:20.419,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:20.609,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:20.704,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:20.942,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:21.240,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:21.320,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:21.418,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:21.551,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:21.728,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:21.820,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:21.909,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:22.018,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:22.095,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:22.237,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:22.367,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:22.420,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:22.608,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:22.689,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:22.802,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:22.864,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:23.002,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:23.071,*we have often kind of understood wh - Notepad,k
2025-11-13 13:37:23.198,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:23.257,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:23.366,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:23.462,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:23.544,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:23.734,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:23.887,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:23.984,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:24.067,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:24.170,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:24.273,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:24.357,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:24.520,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:24.655,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:24.736,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:24.883,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:25.127,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:25.292,*we have often kind of understood wh - Notepad,e
