pid,name,cpu_percent,memory_percent,num_handles,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms
0,System Idle Process,341.7,0.0001110064566905534,0,12,0.0,0,0,0,0,0.0,58365.078125,18221415,0,0.0078125,0.05859375
4,System,0.0,0.0023866388188468982,3723,156,0.0,542,2391,654472,126765464,0.0,698.390625,4872733,0,0.16796875,0.0390625
124,Registry,0.0,0.877173020768753,0,4,0.0,4,4292,2048,81248256,0.0,2.0,7702,0,61.734375,5.9765625
472,smss.exe,0.0,0.020591697716097656,58,2,0.0,24,13,2795354,24740,0.0625,0.265625,1427,0,1.44921875,1.140625
512,fontdrvhost.exe,0.0,0.05394913795160896,43,5,0.0,0,0,0,0,0.015625,0.015625,1462,0,3.796875,1.3984375
516,fontdrvhost.exe,0.0,0.06826897086469035,43,5,0.0,0,0,0,0,0.03125,0.09375,3941,0,4.8046875,1.7734375
648,csrss.exe,0.0,0.09923977228135474,523,11,0.0,387,0,301701,0,0.515625,1.953125,38760,0,6.984375,1.96875
720,wininit.exe,0.0,0.12732440582406476,160,2,0.0,2,0,36868,0,0.03125,0.203125,591,0,8.9609375,1.4921875
728,csrss.exe,0.0,0.10395754669070326,670,14,0.0,21147,0,680586,0,0.734375,16.875,387156,0,7.31640625,2.16796875
792,winlogon.exe,0.0,0.22750773298728919,290,3,0.0,3,1,365824,160,0.0625,0.265625,1374,0,16.01171875,2.47265625
868,services.exe,0.0,0.14547396149297023,621,8,0.0,3,1,1140,160,3.234375,4.578125,5378,0,10.23828125,4.7421875
888,lsass.exe,0.0,0.41355455440065675,1584,11,0.0,829,295,716518,313742,84.9375,84.921875,715789,0,29.10546875,8.640625
964,svchost.exe,0.0,0.24382568212080055,1229,16,0.0,33,0,16896,0,12.53125,10.84375,31305,0,17.16015625,7.515625
968,svchost.exe,0.0,0.2189602358221166,260,5,0.0,33,0,16896,0,0.46875,0.359375,235,0,15.41015625,2.3984375
