pid,name,cpu_percent,memory_percent,num_handles,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
6528,python.exe,52.2,1.0189282659625896,161,4,32.0,931,0,13623115,0,2.375,33.515625,47465,0,71.7109375,148.45703125,benign
436,csrss.exe,0.0,0.0597546197760608,496,11,,406,0,313626,0,0.515625,2.34375,46871,0,4.89453125,1.73828125,benign
7884,SecurityHealthSystray.exe,0.0,0.1089155794580639,174,2,32.0,1,0,5300,0,0.015625,0.140625,404,0,8.921875,1.72265625,benign
6668,StartMenuExperienceHost.exe,0.0,1.9485518375176287,1227,27,32.0,3527,320,20040813,101870,7.15625,5.0625,49449,0,137.13671875,56.1015625,benign
2108,svchost.exe,0.0,0.1099169924040443,364,4,,0,0,0,0,0.0625,0.3125,410,0,9.00390625,2.203125,benign
8132,dllhost.exe,0.0,0.2088076975541168,262,5,32.0,122,185,7929366,4157440,0.09375,0.234375,765,0,8.55078125,3.12890625,benign
4900,sihost.exe,0.0,0.5855963706188778,536,13,32.0,45,0,184320,0,0.703125,0.875,2748,0,23.98046875,5.4609375,benign
10496,Discord.exe,0.0,0.955538695788391,287,7,32.0,534,622,29648,17944,0.328125,0.3125,2506,0,78.2734375,11.33984375,benign
10536,msedge.exe,0.0,1.7122730786342828,484,20,64.0,99296,372960,40650246,79171208,643.828125,177.875,1572318,0,140.26171875,106.98828125,benign
3680,chrome.exe,0.0,2.359719753099439,417,19,64.0,1874,2323,1029832,1588288,1.40625,0.4375,11348,0,166.07421875,97.60546875,benign
660,lsass.exe,0.0,0.2263808300694021,1417,9,,1807,1148,111926,182833,107.203125,95.515625,2587854,0,18.54296875,7.6484375,benign
1992,svchost.exe,0.0,0.0840761330129252,129,2,,0,0,0,0,0.25,0.03125,74,0,6.88671875,1.4296875,benign
7124,Code.exe,0.0,0.5191610829947206,331,15,32.0,1161,2657,2359533,445973,0.734375,0.796875,6114,0,42.52734375,13.0,benign
1164,svchost.exe,0.0,0.2021423560957675,396,6,,1311,570,70546512,12015480,0.390625,0.875,2144,0,16.55859375,15.21484375,benign
4140,WmiPrvSE.exe,0.0,0.2563773630615348,383,13,,26531,26370,17964244,2582532,60.1875,117.78125,126977,0,21.0,14.2421875,benign
5632,StartMenuExperienceHost.exe,0.0,0.3669687144268063,598,8,32.0,94,182,235043,41316,3.078125,1.859375,10444,0,30.05859375,21.5859375,benign
10340,UserOOBEBroker.exe,0.0,0.1542989747998692,147,4,32.0,1,0,5496,0,0.09375,0.125,95,0,10.859375,1.796875,benign
2748,svchost.exe,0.0,0.1754213594344545,186,5,,412,279,26448,43164,0.09375,0.03125,1134,0,7.18359375,1.94140625,benign
5448,SearchIndexer.exe,0.0,0.4440813299905589,741,18,0.0,199107,7635,700159098,16107168,6.109375,4.96875,33580,0,31.25390625,15.46484375,benign
7616,TextInputHost.exe,0.0,0.1979580420514195,532,11,32.0,2,0,27638,0,10.859375,4.421875,121602,0,16.21484375,12.56640625,benign
3384,powershell.exe,0.0,0.5473437044744561,478,9,32.0,143,2,483772,120,4.265625,3.96875,32241,0,44.8359375,56.71484375,benign
6528,python.exe,56.3,1.0012227361204464,162,7,32.0,931,0,13623115,0,0.515625,3.265625,5914,0,70.46484375,147.421875,benign
2728,svchost.exe,0.0,0.2385270264663904,320,2,,0,0,0,0,0.9375,1.265625,65,0,19.5390625,3.48828125,benign
1000,svchost.exe,0.0,0.1171724667117171,311,4,,0,0,0,0,0.375,0.28125,1707,0,9.59765625,2.48828125,benign
376,svchost.exe,0.0,0.1174037463335172,214,1,,0,0,0,0,0.015625,0.125,32,0,9.6171875,2.22265625,benign
7680,Code.exe,0.0,0.6887124606398921,224,8,32.0,16,15,5703,180,0.0,0.09375,190,0,28.203125,10.45703125,benign
2444,svchost.exe,0.0,0.2071017344949087,415,11,,1,2,116,32928,0.796875,3.34375,1381,0,16.96484375,8.8046875,benign
6268,uhssvc.exe,0.0,0.1457552132766973,123,3,,1,1,3690,65536,0.0,0.015625,822,0,5.96875,1.33984375,benign
1632,MemCompression,0.0,2.857460311859066,0,78,,0,0,0,0,0.0,16.15625,100898,0,234.0703125,0.82421875,benign
7680,Code.exe,0.0,1.9782928109898903,466,15,32.0,103285,71712,175434797,481864714,85.625,12.546875,677693,0,162.04296875,227.1953125,benign
9640,powershell.exe,0.0,1.4202548236104366,584,11,32.0,151,99,540551,1615,0.765625,1.75,34064,0,58.16015625,61.6640625,benign
7768,ctfmon.exe,0.0,0.5311103920359528,616,12,128.0,1,0,16361,0,9.53125,20.15625,792023,0,37.37890625,9.24609375,benign
4416,svchost.exe,0.0,0.3116491941233501,334,5,32.0,61,3358,246276,7023844,0.421875,0.25,999,0,25.52734375,5.5625,benign
2836,python.exe,0.0,0.1452137407965724,158,3,32.0,64,0,7190756,0,0.078125,0.015625,75,0,11.89453125,4.55859375,benign
2380,explorer.exe,0.0,1.457287846062943,2076,47,,1485,35,1172874,231212,5.75,7.15625,165072,0,119.3671875,54.859375,benign
4136,taskhostw.exe,0.0,0.2152084107242743,302,6,32.0,76,1085,5365985,27938409,0.5625,1.65625,4331,0,17.62890625,7.67578125,benign
660,lsass.exe,0.0,0.2049206713309924,1360,9,,432,321,46022,77345,46.796875,42.9375,867669,0,16.78515625,7.26953125,benign
10612,msedge.exe,0.0,1.3208489257282985,1160,48,32.0,1029,711,7117264,1268453,1.453125,1.15625,13943,0,108.19140625,42.88671875,benign
3932,keylogger.exe,0.0,0.076159718900534,109,3,32.0,875,4245,6741592,17579888,0.125,0.59375,814,0,6.23828125,1.2734375,keylogger
1564,svchost.exe,0.0,0.0699124282455748,220,2,,33,1678,1436148,19661237,13.40625,1160.59375,37470,0,5.7265625,2.67578125,benign
4,System,0.0,0.0018121911823545,4875,111,,163,2614,260064,291308968,0.0,243.46875,1898382,0,0.1484375,0.19140625,benign
9528,msedge.exe,0.0,0.6031480455160717,368,9,32.0,21,38,14352,17824,0.109375,0.15625,1146,0,24.69921875,11.01953125,benign
9948,svchost.exe,0.0,0.2477266288478947,226,7,,0,0,0,0,0.015625,0.203125,197,0,10.14453125,2.8984375,benign
5024,AggregatorHost.exe,0.0,0.0994259996366301,248,4,,215,0,101001803,0,0.984375,0.6875,296,0,8.14453125,2.44140625,benign
2980,vm3dservice.exe,0.0,0.1447059283643651,128,3,,0,0,0,0,0.0,0.015625,2668,0,5.92578125,1.54296875,benign
8264,Code.exe,0.0,3.962385997579013,398,23,32.0,19758,19131,27475734,77883634,13.6875,4.6875,995752,0,162.26171875,179.8984375,benign
4900,sihost.exe,0.0,0.5773928703951894,504,8,32.0,58,0,237568,0,0.734375,0.921875,4204,0,23.64453125,5.26171875,benign
6252,csrss.exe,0.0,0.0685771294796293,332,9,,4765,0,384069,0,0.03125,0.859375,35701,0,5.6171875,1.64453125,benign
6108,Code.exe,0.0,0.759832687064627,385,22,32.0,30189,40653,59473454,165245652,29.71875,18.71875,3081791,0,62.23828125,189.4765625,benign
8152,SecurityHealthService.exe,0.0,0.1828293921375731,402,9,,1,1,8480,4096,0.390625,0.625,2344,0,14.9765625,4.80859375,benign
5208,svchost.exe,0.0,0.3158688725129697,422,8,0.0,28,6,11803,15858,0.265625,0.5,376,0,22.23046875,4.90625,benign
1376,svchost.exe,0.0,0.0881774077940435,121,2,,0,0,0,0,0.015625,0.015625,66,0,7.22265625,1.41015625,benign
2224,Code.exe,0.0,1.749572763899812,1056,55,32.0,13013,8710,52947278,18960653,4.6875,4.375,89599,0,123.1328125,97.44140625,benign
3128,svchost.exe,0.0,0.1163617496038216,371,5,,1,1,116,160,0.328125,0.078125,733,0,9.53125,2.71875,benign
2976,svchost.exe,0.0,0.2679140832226506,452,16,0.0,1,2,116,32928,1.015625,1.765625,1395,0,18.85546875,10.46484375,benign
6464,audiodg.exe,0.0,0.1580801864726278,206,6,32.0,1,0,8783,0,14.203125,11.296875,87522,0,12.94921875,7.1875,benign
4140,WmiPrvSE.exe,0.0,0.2383985189629116,375,14,,7643,7482,14913328,732932,19.40625,36.796875,169165,0,19.52734375,12.9921875,benign
696,svchost.exe,0.0,0.2037636913416406,294,10,32.0,236,612,911827,1254995,0.4375,0.359375,220,0,16.69140625,4.8203125,benign
1560,svchost.exe,0.0,0.1363714320443448,180,7,0.0,3,2,4746,276,0.03125,0.03125,91,0,9.59765625,1.875,benign
3836,dllhost.exe,0.0,0.1687245369255413,268,10,,4281,7,2094377,3745,0.171875,0.140625,7481,0,13.8203125,3.8203125,benign
7252,chrome.exe,0.0,0.9227966744685704,332,15,64.0,3852,3981,2473235,1740561,1.90625,1.03125,30117,0,64.9453125,39.234375,benign
10204,conhost.exe,0.0,0.0691970896209611,109,5,32.0,2,2,0,125,0.078125,0.03125,761,0,5.66796875,1.26171875,benign
728,csrss.exe,0.0,0.1040130499190485,675,14,0.0,27068,0,751650,0,0.734375,19.375,423671,0,7.3203125,2.16796875,benign
2228,svchost.exe,0.0,0.2907473102535167,338,11,,0,0,0,0,0.09375,0.125,485,0,11.90625,3.02734375,benign
9604,svchost.exe,0.0,0.4907595450289366,496,11,0.0,13,0,107850,0,0.125,0.203125,1860,0,34.5390625,5.5,benign
4244,ctfmon.exe,0.0,0.1805514688524871,516,9,128.0,13,0,32381,0,11.140625,24.015625,222097,0,14.7890625,4.67578125,benign
2228,svchost.exe,0.0,0.1645755729027821,376,11,,0,0,0,0,4.0625,2.046875,1639,0,13.48046875,3.46875,benign
8168,TextInputHost.exe,0.0,0.4493959810914161,550,11,32.0,1,0,512,0,2.203125,2.84375,84571,0,36.8125,9.0078125,benign
4,System,0.0,0.001764394238156,2977,129,,210,1489,894096,71602683,0.0,213.4375,1816072,0,0.14453125,0.1953125,benign
1764,svchost.exe,0.0,0.0980430960445619,178,2,,288,0,5792,0,0.09375,0.078125,338,0,8.03125,1.81640625,benign
2972,svchost.exe,0.0,0.1628587602037093,288,5,,2414,209,10248020,383055,82.421875,57.734375,1148993,0,13.33984375,4.04296875,benign
6108,Code.exe,0.0,2.3007956441321604,385,22,32.0,17967,19839,30640371,81012331,13.5625,7.140625,1156931,0,94.21875,192.26953125,benign
2320,msedge.exe,0.0,0.6008224468376203,334,19,32.0,1293,2388,4261503,2061874,0.53125,0.28125,3267,0,42.28515625,14.4296875,benign
2768,svchost.exe,0.0,0.4446750343460797,677,11,,249,541,19997991,1116408,3.75,2.796875,18651,0,36.42578125,20.51953125,benign
2476,svchost.exe,0.0,0.131986677005068,164,5,0.0,0,0,0,0,0.0625,0.09375,292,0,9.2890625,1.6015625,benign
5448,SearchIndexer.exe,0.0,0.4507417173919921,743,18,0.0,199106,7634,700158946,16107088,6.109375,4.96875,33572,0,31.72265625,15.93359375,benign
1680,svchost.exe,0.0,0.2456017854278494,435,8,0.0,737,2190,29397120,9283584,0.90625,1.96875,4846,0,17.28515625,13.6484375,benign
4296,svchost.exe,0.0,0.1368597692839945,214,1,,10,0,8870,0,0.359375,1.125,36,0,11.2109375,2.6953125,benign
6588,RuntimeBroker.exe,0.0,0.4953179176142337,569,10,32.0,1166,3,1117890,408,1.15625,1.96875,4477,0,40.57421875,12.34765625,benign
2416,python.exe,0.0,0.8312204314945325,142,7,32.0,933,0,13632388,0,0.40625,0.9375,2515,0,68.08984375,148.1875,benign
8064,RuntimeBroker.exe,0.0,0.2190843760983428,260,6,32.0,2,2,456,5286,0.046875,0.0625,264,0,17.9453125,2.8984375,benign
2120,conhost.exe,0.0,0.198721069917674,196,3,32.0,1,0,60,0,0.015625,0.09375,4493,0,16.27734375,6.8125,benign
4100,ctfmon.exe,0.0,0.4675041232127578,499,8,128.0,15,0,32385,0,4.140625,13.703125,142824,0,19.14453125,4.44921875,benign
1788,MemCompression,0.0,1.6207188771663434,0,46,,0,0,0,0,0.0,83.09375,777549,0,132.75390625,1.6171875,benign
7812,Code.exe,0.0,3.7389837007897295,349,16,32768.0,166399,149223,1456592526,17118752,35.4375,177.28125,1218823,0,153.11328125,198.203125,benign
9996,TextInputHost.exe,0.0,0.4668776756645138,517,10,32.0,2,0,27626,0,0.4375,0.234375,4425,0,38.2421875,12.21484375,benign
1804,svchost.exe,0.0,0.0954738617651028,173,2,,0,0,0,0,0.078125,0.15625,210,0,7.8203125,1.65625,benign
9240,svchost.exe,0.0,0.280349850667679,222,3,,2,0,24,0,0.828125,2.21875,176,0,11.48046875,2.7109375,benign
