time,application,input
2025-11-13 13:36:02.807,Windows PowerShell,[enter]
2025-11-13 13:36:05.952,Windows PowerShell,[ctrl_l]
2025-11-13 13:36:06.100,Windows PowerShell,
2025-11-13 13:36:09.535,Windows PowerShell,[enter]
2025-11-13 13:36:10.414,Windows PowerShell,[enter]
2025-11-13 13:36:10.536,Windows PowerShell,[enter]
2025-11-13 13:36:19.776,Windows PowerShell,[ctrl_l]
2025-11-13 13:36:19.877,Windows PowerShell,
2025-11-13 13:36:32.409,haha - securecode012e4@gmail.com - Gmail - Google Chrome,[ctrl_l]
2025-11-13 13:36:32.911,haha - securecode012e4@gmail.com - Gmail - Google Chrome,[ctrl_l]
2025-11-13 13:36:32.945,haha - securecode012e4@gmail.com - Gmail - Google Chrome,[ctrl_l]
2025-11-13 13:36:32.977,haha - securecode012e4@gmail.com - Gmail - Google Chrome,
2025-11-13 13:36:37.169,Windows PowerShell,[backspace]
2025-11-13 13:36:37.669,Windows PowerShell,[backspace]
2025-11-13 13:36:37.702,Windows PowerShell,[backspace]
2025-11-13 13:36:37.736,Windows PowerShell,[backspace]
2025-11-13 13:36:37.770,Windows PowerShell,[backspace]
2025-11-13 13:36:37.803,Windows PowerShell,[backspace]
2025-11-13 13:36:37.836,Windows PowerShell,[backspace]
2025-11-13 13:36:37.869,Windows PowerShell,[backspace]
2025-11-13 13:36:37.904,Windows PowerShell,[backspace]
2025-11-13 13:36:37.937,Windows PowerShell,[backspace]
2025-11-13 13:36:37.970,Windows PowerShell,[backspace]
2025-11-13 13:36:38.004,Windows PowerShell,[backspace]
2025-11-13 13:36:38.038,Windows PowerShell,[backspace]
2025-11-13 13:36:38.071,Windows PowerShell,[backspace]
2025-11-13 13:36:38.104,Windows PowerShell,[backspace]
2025-11-13 13:36:38.137,Windows PowerShell,[backspace]
2025-11-13 13:36:38.171,Windows PowerShell,[backspace]
2025-11-13 13:36:38.216,Windows PowerShell,[backspace]
2025-11-13 13:36:38.240,Windows PowerShell,[backspace]
2025-11-13 13:36:38.271,Windows PowerShell,[backspace]
2025-11-13 13:36:38.305,Windows PowerShell,[backspace]
2025-11-13 13:36:38.352,Windows PowerShell,[backspace]
2025-11-13 13:36:38.371,Windows PowerShell,[backspace]
2025-11-13 13:36:38.449,Windows PowerShell,[backspace]
2025-11-13 13:36:38.450,Windows PowerShell,[backspace]
2025-11-13 13:36:38.472,Windows PowerShell,[backspace]
2025-11-13 13:36:38.505,Windows PowerShell,[backspace]
2025-11-13 13:36:38.538,Windows PowerShell,[backspace]
2025-11-13 13:36:38.571,Windows PowerShell,[backspace]
2025-11-13 13:36:38.604,Windows PowerShell,[backspace]
2025-11-13 13:36:38.637,Windows PowerShell,[backspace]
2025-11-13 13:36:38.671,Windows PowerShell,[backspace]
2025-11-13 13:36:38.704,Windows PowerShell,[backspace]
2025-11-13 13:36:38.738,Windows PowerShell,[backspace]
